id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update,TYPE
43,Burkina Faso,384,238,19,127,12.2383,-1.5616,1.59E+12,B
166,Taiwan*,379,313,5,61,23.7,121,1.59E+12,C
95,Jordan,353,209,6,138,31.24,36.51,1.59E+12,B
56,Cote d'Ivoire,349,305,3,41,7.54,-5.5471,1.59E+12,B
77,Ghana,313,273,6,34,7.9465,-1.0232,1.59E+12,B
86,Honduras,312,284,22,6,15.2,-86.2419,1.59E+12,A
116,Malta,299,294,0,5,35.9375,14.3754,1.59E+12,C
148,San Marino,279,205,34,40,43.9424,12.4578,1.59E+12,C
130,Niger,278,241,11,26,17.607789,8.081666,1.59E+12,B
118,Mauritius,273,247,7,19,-20.348404,57.552152,1.59E+12,C
101,Kyrgyzstan,270,233,4,33,41.20438,74.766098,1.59E+12,B
181,West Bank and Gaza,263,218,1,44,31.9522,35.2332,1.59E+12,B
131,Nigeria,254,204,6,44,9.082,8.6753,1.59E+12,B
180,Vietnam,251,125,0,126,14.058324,108.277199,1.59E+12,C
123,Montenegro,248,242,2,4,42.708678,19.37439,1.59E+12,B
151,Senegal,244,129,2,113,14.4974,-14.4524,1.59E+12,B
30,Bangladesh,218,165,20,33,23.685,90.3563,1.59E+12,C
37,Bolivia,210,193,15,2,-16.2902,-63.5887,1.59E+12,A
76,Georgia,208,155,3,50,42.3154,43.3569,1.59E+12,B
162,Sri Lanka,189,138,7,44,7.873054,80.771797,1.59E+12,B
99,Kosovo,184,149,5,30,42.602636,20.902977,1.59E+12,B
54,Congo (Kinshasa),180,153,18,9,-4.322447,15.307045,1.59E+12,B
97,Kenya,179,164,6,9,-0.0236,37.9062,1.59E+12,B
179,Venezuela,166,94,7,65,6.4238,-66.5897,1.59E+12,A
81,Guinea,144,139,0,5,9.9456,-9.6966,1.59E+12,B
41,Brunei,135,43,1,91,4.5353,114.7277,1.59E+12,C
62,Djibouti,135,110,0,25,11.8251,42.5903,1.59E+12,B
137,Paraguay,119,99,5,15,-23.4425,-58.4438,1.59E+12,A
47,Cambodia,117,54,0,63,11.55,104.9167,1.59E+12,C
171,Trinidad and Tobago,107,98,8,1,10.6918,-61.2225,1.59E+12,B
144,Rwanda,105,98,0,7,-1.9403,29.8739,1.59E+12,B
67,El Salvador,93,79,5,9,13.7942,-88.8965,1.59E+12,A
111,Madagascar,93,82,0,11,-18.766947,46.869107,1.59E+12,B
80,Guatemala,87,67,3,17,15.7835,-90.2308,1.59E+12,A
121,Monaco,81,76,1,4,43.7333,7.4167,1.59E+12,B
107,Liechtenstein,78,22,1,55,47.14,9.55,1.59E+12,B
170,Togo,70,44,3,23,8.6195,0.8248,1.59E+12,B
31,Barbados,63,54,3,6,13.1939,-59.5432,1.59E+12,A
93,Jamaica,63,50,3,10,18.1096,-77.2975,1.59E+12,A
115,Mali,59,36,7,16,17.570692,-3.996166,1.59E+12,A
72,Ethiopia,55,49,2,4,9.145,40.4897,1.59E+12,B
174,Uganda,52,52,0,0,1.373333,32.290275,1.59E+12,B
53,Congo (Brazzaville),45,38,5,2,-4.2634,15.2832,1.59E+12,B
183,Zambia,39,31,1,7,-13.133897,27.849332,1.59E+12,B
28,Bahamas,36,25,6,5,25.025885,-78.035889,1.59E+12,A
82,Guinea-Bissau,33,33,0,0,11.8037,-15.1804,1.59E+12,B
83,Guyana,33,20,5,8,4.860416,-58.93018,1.59E+12,A
69,Eritrea,31,31,0,0,15.1794,39.7823,1.59E+12,B
74,Gabon,30,28,1,1,-0.8037,11.6094,1.59E+12,B
84,Haiti,27,26,1,0,18.9712,-72.2852,1.59E+12,A
35,Benin,26,20,1,5,9.3077,2.3158,1.59E+12,B
167,Tanzania,25,19,1,5,-6.369028,34.888822,1.59E+12,B
44,Burma,22,19,3,0,21.9162,95.956,1.59E+12,B
106,Libya,21,18,1,2,26.3351,17.228331,1.59E+12,B
24,Antigua and Barbuda,19,17,2,0,17.0608,-61.7964,1.59E+12,A
114,Maldives,19,6,0,13,3.2028,73.2207,1.59E+12,C
165,Syria,19,14,2,3,34.802075,38.996815,1.59E+12,B
23,Angola,17,13,2,2,-11.2027,17.8739,1.59E+12,B
